,ac,ag,ap,at,ca,co,ct,cv,dg,ds,fa,gm,gn,gr,gt,ho,it,kt,lo,mg,mp,na,nt,oa,oc,pr,qa,ra,rt,sg,sp,st
ac,11891,3696,30,276,64,1957,176,140,53,59,51,7,41,180,22,27,98,186,151,27,70,48,439,19,66,26,57,1065,606,28,7,51
ag,3696,48815,138,1916,350,2948,712,2313,2769,789,148,10,46,850,1189,93,247,1261,357,226,1818,192,6050,85,333,111,1236,1010,3589,1523,47,108
ap,30,138,56000,55,1946,86,9,758,5041,1593,2632,16,15,48,121,34,16,47,5,391,7251,2208,105,115,1781,2949,17,46,115,154,1988,60
at,276,1916,55,14379,24,1155,1696,87,976,198,60,2,194,831,1965,26,12,1467,94,187,466,20,218,125,28,128,623,310,624,375,19,47
ca,64,350,1946,24,20660,828,11,1184,436,1293,2229,38,63,52,44,133,62,14,137,566,1813,517,996,90,293,927,214,97,231,41,607,68
co,1957,2948,86,1155,828,59884,257,142,228,683,371,46,234,2147,1145,218,1387,87,777,1697,1831,123,3937,214,822,3847,1022,1038,2841,119,339,237
ct,176,712,9,1696,11,257,7722,8,172,69,88,21,215,228,88,29,25,469,566,37,292,8,55,213,13,61,886,732,970,53,1,20
cv,140,2313,758,87,1184,142,8,15760,2153,1331,1497,4,39,93,373,49,15,30,42,238,733,119,395,158,42,570,52,70,122,197,208,5
dg,53,2769,5041,976,436,228,172,2153,39156,1154,688,16,53,483,2241,91,46,387,26,1477,4322,208,181,308,416,431,519,218,579,2220,887,75
ds,59,789,1593,198,1293,683,69,1331,1154,33312,774,17,281,1085,1163,48,176,58,252,447,2529,804,1683,721,1703,1837,17,105,148,838,473,107
fa,51,148,2632,60,2229,371,88,1497,688,774,28559,30,453,460,56,38,266,115,278,1208,1892,552,192,3167,699,1881,161,229,377,74,1194,135
gm,7,10,16,2,38,46,21,4,16,17,30,3657,11,11,3,25,6,1,34,14,71,11,43,1,4,11,2,26,5,2,1,1
gn,41,46,15,194,63,234,215,39,53,281,453,11,4736,430,388,13,9,13,670,178,49,5,42,61,18,55,21,98,30,9,3,3
gr,180,850,48,831,52,2147,228,93,483,1085,460,11,430,20446,2861,56,66,272,603,656,350,14,810,732,15,401,295,1073,1877,82,47,15
gt,22,1189,121,1965,44,1145,88,373,2241,1163,56,3,388,2861,21210,79,7,238,39,641,524,18,369,98,21,122,1342,95,432,1444,64,6
ho,27,93,34,26,133,218,29,49,91,48,38,25,13,56,79,3308,6,6,142,141,109,24,274,11,23,101,15,35,25,11,4,20
it,98,247,16,12,62,1387,25,15,46,176,266,6,9,66,7,6,42723,0,72,81,424,390,376,42,1154,1103,19,161,35,6,29,1273
kt,186,1261,47,1467,14,87,469,30,387,58,115,1,13,272,238,6,0,5524,15,49,229,1,328,782,2,7,423,498,511,83,11,0
lo,151,357,5,94,137,777,566,42,26,252,278,34,670,603,39,142,72,15,12093,49,96,7,291,189,23,121,22,352,59,4,7,11
mg,27,226,391,187,566,1697,37,238,1477,447,1208,14,178,656,641,141,81,49,49,10265,260,47,291,126,312,647,11,49,53,60,80,54
mp,70,1818,7251,466,1813,1831,292,733,4322,2529,1892,71,49,350,524,109,424,229,96,260,74232,925,690,1246,489,6473,3524,712,1900,1196,3249,162
na,48,192,2208,20,517,123,8,119,208,804,552,11,5,14,18,24,390,1,7,47,925,32945,131,25,2261,1157,12,113,20,36,262,353
nt,439,6050,105,218,996,3937,55,395,181,1683,192,43,42,810,369,274,376,328,291,291,690,131,38242,129,39,547,292,429,1916,36,196,17
oa,19,85,115,125,90,214,213,158,308,721,3167,1,61,732,98,11,42,782,189,126,1246,25,129,11824,44,618,1030,406,352,32,156,7
oc,66,333,1781,28,293,822,13,42,416,1703,699,4,18,15,21,23,1154,2,23,312,489,2261,39,44,41981,2161,4,59,26,29,130,618
pr,26,111,2949,128,927,3847,61,570,431,1837,1881,11,55,401,122,101,1103,7,121,647,6473,1157,547,618,2161,51461,101,74,307,27,486,3321
qa,57,1236,17,623,214,1022,886,52,519,17,161,2,21,295,1342,15,19,423,22,11,3524,12,292,1030,4,101,18017,1667,3758,403,21,0
ra,1065,1010,46,310,97,1038,732,70,218,105,229,26,98,1073,95,35,161,498,352,49,712,113,429,406,59,74,1667,16004,2886,69,47,12
rt,606,3589,115,624,231,2841,970,122,579,148,377,5,30,1877,432,25,35,511,59,53,1900,20,1916,352,26,307,3758,2886,24101,360,103,11
sg,28,1523,154,375,41,119,53,197,2220,838,74,2,9,82,1444,11,6,83,4,60,1196,36,36,32,29,27,403,69,360,8472,62,1
sp,7,47,1988,19,607,339,1,208,887,473,1194,1,3,47,64,4,29,11,7,80,3249,262,196,156,130,486,21,47,103,62,8975,34
st,51,108,60,47,68,237,20,5,75,107,135,1,3,15,6,20,1273,0,11,54,162,353,17,7,618,3321,0,12,11,1,34,20722
